Iter  | Wout Imp | Green It | Nb Yello | Nb Red I | LB         | Lagr Cost | Real Cost | Primal Co | UB     | Step   | Lambda   | Alpha    | Feasibility | Time      | 
69    | 0        | 1        | 0        | 0        | 573.969189 | 573.96918 | 500.00000 | 494.67612 | 834.00 | 0.0511 | 2.000000 | 0.100000 | NO          | 0.715099  | 
70    | 0        | 1        | 0        | 0        | 575.538329 | 575.53832 | 484.00000 | 493.47769 | 834.00 | 0.0714 | 2.000000 | 0.100000 | NO          | 0.716728  | 
71    | 0        | 1        | 0        | 0        | 576.162481 | 576.16248 | 546.00000 | 499.88114 | 834.00 | 0.0690 | 2.000000 | 0.100000 | NO          | 0.718254  | 
72    | 0        | 1        | 0        | 0        | 578.387978 | 578.38797 | 431.00000 | 492.66336 | 834.00 | 0.0683 | 2.000000 | 0.100000 | NO          | 0.719720  | 
73    | 0        | 1        | 0        | 0        | 579.022545 | 579.02254 | 476.00000 | 490.56407 | 834.00 | 0.0646 | 2.000000 | 0.100000 | NO          | 0.721221  | 
74    | 0        | 1        | 0        | 0        | 581.356219 | 581.35621 | 556.00000 | 498.57467 | 834.00 | 0.0636 | 2.000000 | 0.100000 | NO          | 0.722623  | 
75    | 0        | 1        | 0        | 0        | 584.124412 | 584.12441 | 497.00000 | 498.39234 | 834.00 | 0.0603 | 2.000000 | 0.100000 | NO          | 0.724082  | 
76    | 1        | 0        | 0        | 1        | 584.124412 | 584.07670 | 539.00000 | 503.43932 | 834.00 | 0.0560 | 2.000000 | 0.100000 | NO          | 0.725482  | 
77    | 0        | 1        | 0        | 0        | 584.910444 | 584.91044 | 556.00000 | 509.41166 | 834.00 | 0.0559 | 2.000000 | 0.100000 | NO          | 0.726875  | 
78    | 0        | 1        | 0        | 0        | 585.526854 | 585.52685 | 535.00000 | 512.76776 | 834.00 | 0.0547 | 2.000000 | 0.100000 | NO          | 0.728338  | 
79    | 0        | 1        | 0        | 0        | 586.577808 | 586.57780 | 591.00000 | 522.08343 | 834.00 | 0.0540 | 2.000000 | 0.100000 | NO          | 0.729839  | 
80    | 0        | 1        | 0        | 0        | 587.588442 | 587.58844 | 518.00000 | 521.58882 | 834.00 | 0.0524 | 2.000000 | 0.100000 | NO          | 0.731343  | 
81    | 0        | 1        | 0        | 0        | 587.960251 | 587.96025 | 462.00000 | 512.93809 | 834.00 | 0.0508 | 2.000000 | 0.100000 | NO          | 0.732793  | 
82    | 1        | 0        | 0        | 1        | 587.960251 | 587.48028 | 481.00000 | 509.11415 | 834.00 | 0.0755 | 2.000000 | 0.100000 | NO          | 0.734226  | 
83    | 0        | 1        | 0        | 0        | 589.721886 | 589.72188 | 527.00000 | 510.96116 | 834.00 | 0.0755 | 2.000000 | 0.100000 | NO          | 0.735669  | 
84    | 0        | 1        | 0        | 0        | 590.808397 | 590.80839 | 551.00000 | 515.36766 | 834.00 | 0.0726 | 2.000000 | 0.100000 | NO          | 0.737108  | 
85    | 0        | 1        | 0        | 0        | 591.372205 | 591.37220 | 522.00000 | 516.22061 | 834.00 | 0.0708 | 2.000000 | 0.100000 | NO          | 0.738516  | 
86    | 1        | 0        | 0        | 1        | 591.372205 | 590.70927 | 573.00000 | 524.53248 | 834.00 | 0.0698 | 2.000000 | 0.100000 | NO          | 0.739922  | 
87    | 0        | 1        | 0        | 0        | 592.274400 | 592.27440 | 525.00000 | 524.58620 | 834.00 | 0.0704 | 2.000000 | 0.100000 | NO          | 0.741401  | 
88    | 1        | 0        | 0        | 1        | 592.274400 | 592.07242 | 535.00000 | 526.03331 | 834.00 | 0.0688 | 2.000000 | 0.100000 | NO          | 0.742841  | 
89    | 0        | 1        | 0        | 0        | 592.563684 | 592.56368 | 604.00000 | 536.32541 | 834.00 | 0.0688 | 2.000000 | 0.100000 | NO          | 0.744330  | 
90    | 0        | 1        | 0        | 0        | 593.890740 | 593.89074 | 576.00000 | 541.36712 | 834.00 | 0.0684 | 2.000000 | 0.100000 | NO          | 0.745751  | 
91    | 1        | 0        | 0        | 1        | 593.890740 | 593.44670 | 539.00000 | 541.07714 | 834.00 | 0.0668 | 2.000000 | 0.100000 | NO          | 0.747184  | 
92    | 2        | 0        | 0        | 2        | 593.890740 | 593.58795 | 513.00000 | 537.89973 | 834.00 | 0.0666 | 2.000000 | 0.100000 | NO          | 0.748595  | 
93    | 0        | 1        | 0        | 0        | 594.797272 | 594.79727 | 562.00000 | 541.18839 | 834.00 | 0.0664 | 2.000000 | 0.100000 | NO          | 0.750012  | 
94    | 0        | 1        | 0        | 0        | 594.826270 | 594.82627 | 560.00000 | 543.59715 | 834.00 | 0.0649 | 2.000000 | 0.100000 | NO          | 0.751461  | 
95    | 0        | 1        | 0        | 0        | 595.005285 | 595.00528 | 478.00000 | 534.81185 | 834.00 | 0.0646 | 2.000000 | 0.100000 | NO          | 0.752886  | 
96    | 1        | 0        | 0        | 1        | 595.005285 | 594.95825 | 573.00000 | 540.37930 | 834.00 | 0.0643 | 2.000000 | 0.100000 | NO          | 0.754283  | 
97    | 0        | 1        | 0        | 0        | 597.154380 | 597.15438 | 487.00000 | 532.90200 | 834.00 | 0.0648 | 2.000000 | 0.100000 | NO          | 0.755803  | 
98    | 1        | 0        | 0        | 1        | 597.154380 | 596.56834 | 510.00000 | 529.55692 | 834.00 | 0.0614 | 2.000000 | 0.100000 | NO          | 0.757300  | 
99    | 0        | 1        | 0        | 0        | 597.670140 | 597.67014 | 526.00000 | 529.13062 | 834.00 | 0.0614 | 2.000000 | 0.100000 | NO          | 0.758740  | 
100   | 1        | 0        | 0        | 1        | 597.670140 | 597.29402 | 569.00000 | 534.54478 | 834.00 | 0.0604 | 2.000000 | 0.100000 | NO          | 0.760215  | 
101   | 2        | 0        | 0        | 2        | 597.670140 | 597.61986 | 528.00000 | 533.60020 | 834.00 | 0.0604 | 2.000000 | 0.100000 | NO          | 0.761571  | 
102   | 0        | 1        | 0        | 0        | 599.234424 | 599.23442 | 522.00000 | 532.25079 | 834.00 | 0.0606 | 2.000000 | 0.100000 | NO          | 0.763089  | 
103   | 1        | 0        | 0        | 1        | 599.234424 | 598.48700 | 518.00000 | 530.29604 | 834.00 | 0.0578 | 2.000000 | 0.100000 | NO          | 0.764640  | 
104   | 0        | 1        | 0        | 0        | 599.619228 | 599.61922 | 562.00000 | 534.00335 | 834.00 | 0.0578 | 2.000000 | 0.100000 | NO          | 0.766174  | 
105   | 1        | 0        | 0        | 1        | 599.619228 | 598.55085 | 574.00000 | 541.22127 | 834.00 | 0.0570 | 2.000000 | 0.100000 | NO          | 0.767681  | 
106   | 2        | 0        | 0        | 2        | 599.619228 | 598.95419 | 554.00000 | 542.99435 | 834.00 | 0.0575 | 2.000000 | 0.100000 | NO          | 0.769238  | 
107   | 0        | 1        | 0        | 0        | 600.205499 | 600.20549 | 510.00000 | 538.12122 | 834.00 | 0.0574 | 2.000000 | 0.100000 | NO          | 0.770714  | 
108   | 0        | 1        | 0        | 0        | 600.311934 | 600.31193 | 560.00000 | 540.88128 | 834.00 | 0.0565 | 2.000000 | 0.100000 | NO          | 0.772170  | 
109   | 1        | 0        | 0        | 1        | 600.311934 | 599.45394 | 566.00000 | 544.47416 | 834.00 | 0.0563 | 2.000000 | 0.100000 | NO          | 0.773579  | 
110   | 2        | 0        | 0        | 2        | 600.311934 | 599.57129 | 493.00000 | 537.13842 | 834.00 | 0.0562 | 2.000000 | 0.100000 | NO          | 0.774977  | 
111   | 0        | 1        | 0        | 0        | 601.247987 | 601.24798 | 560.00000 | 540.03324 | 834.00 | 0.0562 | 2.000000 | 0.100000 | NO          | 0.776432  | 
112   | 0        | 1        | 0        | 0        | 601.503328 | 601.50332 | 582.00000 | 546.16595 | 834.00 | 0.0546 | 2.000000 | 0.100000 | NO          | 0.777840  | 
113   | 1        | 0        | 0        | 1        | 601.503328 | 601.05305 | 581.00000 | 551.05706 | 834.00 | 0.0541 | 2.000000 | 0.100000 | NO          | 0.779255  | 
114   | 0        | 1        | 0        | 0        | 602.752663 | 602.75266 | 619.00000 | 558.80681 | 834.00 | 0.0541 | 2.000000 | 0.100000 | NO          | 0.780702  | 
115   | 1        | 0        | 0        | 1        | 602.752663 | 599.82791 | 497.00000 | 549.12314 | 834.00 | 0.0781 | 2.000000 | 0.100000 | NO          | 0.782258  | 
116   | 2        | 0        | 0        | 2        | 602.752663 | 602.04801 | 508.00000 | 543.21897 | 834.00 | 0.0783 | 2.000000 | 0.100000 | NO          | 0.783719  | 
117   | 3        | 0        | 0        | 3        | 602.752663 | 602.34583 | 594.00000 | 549.91734 | 834.00 | 0.0782 | 2.000000 | 0.100000 | NO          | 0.785238  | 
118   | 4        | 0        | 0        | 4        | 602.752663 | 602.36865 | 480.00000 | 540.15658 | 834.00 | 0.0781 | 2.000000 | 0.100000 | NO          | 0.786686  | 
119   | 0        | 1        | 0        | 0        | 602.943844 | 602.94384 | 618.00000 | 550.27187 | 834.00 | 0.0784 | 2.000000 | 0.100000 | NO          | 0.788123  | 
120   | 1        | 0        | 0        | 1        | 602.943844 | 600.18327 | 599.00000 | 557.95905 | 834.00 | 0.0780 | 2.000000 | 0.100000 | NO          | 0.789561  | 
121   | 2        | 0        | 0        | 2        | 602.943844 | 602.52407 | 502.00000 | 550.27109 | 834.00 | 0.0782 | 2.000000 | 0.100000 | NO          | 0.790967  | 
122   | 0        | 1        | 0        | 0        | 603.152269 | 603.15226 | 580.00000 | 554.24714 | 834.00 | 0.0780 | 2.000000 | 0.100000 | NO          | 0.792432  | 
123   | 1        | 0        | 0        | 1        | 603.152269 | 598.90008 | 583.00000 | 558.79784 | 834.00 | 0.0777 | 2.000000 | 0.100000 | NO          | 0.793849  | 
124   | 2        | 0        | 0        | 2        | 603.152269 | 602.53565 | 531.00000 | 554.48735 | 834.00 | 0.0778 | 2.000000 | 0.100000 | NO          | 0.795411  | 
125   | 0        | 1        | 0        | 0        | 603.523435 | 603.52343 | 546.00000 | 553.30012 | 834.00 | 0.0781 | 2.000000 | 0.100000 | NO          | 0.796930  | 
126   | 1        | 0        | 0        | 1        | 603.523435 | 602.83427 | 628.00000 | 564.90740 | 834.00 | 0.0772 | 2.000000 | 0.100000 | NO          | 0.798458  | 
127   | 0        | 1        | 0        | 0        | 604.148902 | 604.14890 | 532.00000 | 560.51516 | 834.00 | 0.0776 | 2.000000 | 0.100000 | NO          | 0.799891  | 
128   | 1        | 0        | 0        | 1        | 604.148902 | 602.84434 | 497.00000 | 551.97182 | 834.00 | 0.0766 | 2.000000 | 0.100000 | NO          | 0.801304  | 
129   | 2        | 0        | 0        | 2        | 604.148902 | 603.91432 | 531.00000 | 548.88140 | 834.00 | 0.0765 | 2.000000 | 0.100000 | NO          | 0.802746  | 
130   | 0        | 1        | 0        | 0        | 604.919891 | 604.91989 | 522.00000 | 544.57441 | 834.00 | 0.0767 | 2.000000 | 0.100000 | NO          | 0.804174  | 
131   | 1        | 0        | 0        | 1        | 604.919891 | 603.70296 | 549.00000 | 545.17331 | 834.00 | 0.0756 | 2.000000 | 0.100000 | NO          | 0.805578  | 
132   | 0        | 1        | 0        | 0        | 605.073146 | 605.07314 | 552.00000 | 546.09613 | 834.00 | 0.0752 | 2.000000 | 0.100000 | NO          | 0.807142  | 
133   | 1        | 0        | 0        | 1        | 605.073146 | 604.48782 | 589.00000 | 552.49421 | 834.00 | 0.0748 | 2.000000 | 0.100000 | NO          | 0.808691  | 
134   | 2        | 0        | 0        | 2        | 605.073146 | 604.29880 | 536.00000 | 550.25760 | 834.00 | 0.0751 | 2.000000 | 0.100000 | NO          | 0.810203  | 
135   | 3        | 0        | 0        | 3        | 605.073146 | 604.23309 | 559.00000 | 551.38619 | 834.00 | 0.0751 | 2.000000 | 0.100000 | NO          | 0.811636  | 
136   | 4        | 0        | 0        | 4        | 605.073146 | 603.81509 | 506.00000 | 544.54006 | 834.00 | 0.0749 | 2.000000 | 0.100000 | NO          | 0.813081  | 
137   | 0        | 1        | 0        | 0        | 605.759200 | 605.75920 | 572.00000 | 547.97621 | 834.00 | 0.0749 | 2.000000 | 0.100000 | NO          | 0.814549  | 
138   | 1        | 0        | 0        | 1        | 605.759200 | 604.09506 | 542.00000 | 546.99858 | 834.00 | 0.0736 | 2.000000 | 0.100000 | NO          | 0.816208  | 
139   | 2        | 0        | 0        | 2        | 605.759200 | 604.65947 | 583.00000 | 551.63063 | 834.00 | 0.0741 | 2.000000 | 0.100000 | NO          | 0.817751  | 
140   | 3        | 0        | 0        | 3        | 605.759200 | 605.41466 | 603.00000 | 559.21916 | 834.00 | 0.0741 | 2.000000 | 0.100000 | NO          | 0.819278  | 
141   | 0        | 1        | 0        | 0        | 605.856245 | 605.85624 | 597.00000 | 563.72682 | 834.00 | 0.0743 | 2.000000 | 0.100000 | NO          | 0.820766  | 
142   | 1        | 0        | 0        | 1        | 605.856245 | 603.97627 | 558.00000 | 562.87891 | 834.00 | 0.0738 | 2.000000 | 0.100000 | NO          | 0.822295  | 
143   | 2        | 0        | 0        | 2        | 605.856245 | 604.73846 | 617.00000 | 570.93126 | 834.00 | 0.0739 | 2.000000 | 0.100000 | NO          | 0.823795  | 
144   | 0        | 1        | 0        | 0        | 605.903626 | 605.90362 | 514.00000 | 561.94519 | 834.00 | 0.0741 | 2.000000 | 0.100000 | NO          | 0.825304  | 
145   | 1        | 0        | 0        | 1        | 605.903626 | 604.14897 | 536.00000 | 558.44799 | 834.00 | 0.0742 | 2.000000 | 0.100000 | NO          | 0.826758  | 
146   | 0        | 1        | 0        | 0        | 606.439573 | 606.43957 | 581.00000 | 561.94658 | 834.00 | 0.0739 | 2.000000 | 0.100000 | NO          | 0.828206  | 
147   | 1        | 0        | 0        | 1        | 606.439573 | 605.44961 | 525.00000 | 555.91777 | 834.00 | 0.0730 | 2.000000 | 0.100000 | NO          | 0.829714  | 
148   | 0        | 1        | 0        | 0        | 606.504577 | 606.50457 | 601.00000 | 561.54186 | 834.00 | 0.0731 | 2.000000 | 0.100000 | NO          | 0.831228  | 
149   | 1        | 0        | 0        | 1        | 606.504577 | 605.21481 | 623.00000 | 571.40718 | 834.00 | 0.0727 | 2.000000 | 0.100000 | NO          | 0.832672  | 
150   | 2        | 0        | 0        | 2        | 606.504577 | 605.07442 | 557.00000 | 569.30525 | 834.00 | 0.0730 | 2.000000 | 0.100000 | NO          | 0.834306  | 
151   | 0        | 1        | 0        | 0        | 607.847682 | 607.84768 | 554.00000 | 567.25608 | 834.00 | 0.0731 | 2.000000 | 0.100000 | NO          | 0.835854  | 
152   | 1        | 0        | 0        | 1        | 607.847682 | 607.36507 | 638.00000 | 577.39878 | 834.00 | 0.0709 | 2.000000 | 0.100000 | NO          | 0.837345  | 
153   | 0        | 1        | 0        | 0        | 608.155345 | 608.15534 | 507.00000 | 566.28537 | 834.00 | 0.0708 | 2.000000 | 0.100000 | NO          | 0.838827  | 
154   | 1        | 0        | 0        | 1        | 608.155345 | 607.44939 | 504.00000 | 557.10223 | 834.00 | 0.0706 | 2.000000 | 0.100000 | NO          | 0.840259  | 
155   | 2        | 0        | 0        | 2        | 608.155345 | 607.27297 | 568.00000 | 558.64258 | 834.00 | 0.0704 | 2.000000 | 0.100000 | NO          | 0.841685  | 
156   | 0        | 1        | 0        | 0        | 608.313394 | 608.31339 | 508.00000 | 552.19560 | 834.00 | 0.0704 | 2.000000 | 0.100000 | NO          | 0.843147  | 
157   | 1        | 0        | 0        | 1        | 608.313394 | 606.95342 | 594.00000 | 558.48378 | 834.00 | 0.0699 | 2.000000 | 0.100000 | NO          | 0.844561  | 
158   | 2        | 0        | 0        | 2        | 608.313394 | 606.63257 | 598.00000 | 564.07746 | 834.00 | 0.0699 | 2.000000 | 0.100000 | NO          | 0.846006  | 
